total_bill,tip,gender_waiter,gender_customer,smoker,time
11.64,8.49,female,male,no,evening
24.94,5.26,female,male,yes,evening
12.16,3.16,female,female,yes,evening
36.33,7.67,female,male,no,evening
44.04,5.82,male,female,yes,evening
46.43,3.52,female,female,yes,evening
43.18,4.42,female,female,yes,evening
14.36,9.03,male,male,yes,evening
49.78,2.46,male,male,yes,day
19.0,3.52,female,female,yes,evening
38.98,6.04,male,female,yes,day
28.9,0.51,female,female,yes,evening
48.03,2.04,male,female,yes,evening
25.9,6.87,male,male,yes,evening
37.96,3.72,female,male,no,evening
12.58,8.26,male,male,no,evening
21.18,6.93,male,female,yes,evening
23.37,2.33,male,female,yes,day
44.22,1.73,male,male,no,day
47.39,0.75,female,male,yes,evening
42.2,7.91,male,male,no,day
47.38,9.18,male,female,no,day
49.31,6.12,female,male,no,day
18.87,6.85,female,male,yes,evening
16.04,0.41,female,male,no,evening
47.7,6.29,female,female,no,evening
44.06,9.09,female,female,no,evening
38.79,9.05,female,female,no,day
34.21,1.14,female,male,yes,day
11.25,7.66,female,male,no,evening
45.41,3.81,female,female,yes,day
22.18,1.76,male,female,yes,evening
28.14,8.57,male,female,yes,day
28.81,7.72,male,male,yes,day
38.09,7.76,male,male,yes,day
44.2,2.34,male,female,no,evening
35.48,1.48,female,male,no,day
36.89,3.36,female,female,yes,day
37.14,5.99,male,female,no,evening
34.47,7.47,female,female,yes,evening
15.58,8.88,female,female,yes,day
18.87,1.02,male,male,yes,day
36.15,7.47,female,male,yes,day
25.59,7.31,male,female,no,evening
24.6,5.09,female,female,yes,evening
33.24,6.46,female,male,no,day
20.39,7.27,male,female,no,evening
42.38,9.0,female,male,yes,evening
10.99,7.96,male,female,yes,day
30.32,0.17,male,male,yes,day
45.82,2.36,male,female,no,day
42.62,1.66,female,male,yes,evening
35.32,7.15,female,female,yes,day
15.31,2.5,male,male,yes,day
22.61,9.91,male,female,yes,day
39.58,5.57,male,male,no,evening
33.04,3.45,male,female,no,day
37.15,1.27,male,male,yes,evening
47.63,9.53,male,female,no,day
48.13,4.19,male,male,no,day
38.11,9.11,male,male,no,evening
16.71,0.52,male,female,yes,day
28.56,8.29,female,female,no,day
23.32,6.79,male,female,no,day
47.73,9.75,female,female,yes,day
32.68,0.65,male,male,no,day
29.85,4.57,male,female,yes,evening
37.86,5.67,male,female,yes,day
36.64,7.28,female,female,yes,day
19.91,3.59,male,male,yes,day
36.4,4.67,female,male,no,evening
44.74,0.29,female,female,no,evening
16.73,8.21,male,male,yes,evening
16.41,0.21,female,female,yes,evening
32.08,0.21,male,female,no,evening
44.4,6.19,male,female,yes,day
21.2,2.4,male,female,yes,day
17.26,2.53,female,male,no,day
35.56,0.02,male,male,yes,evening
22.54,3.99,male,male,yes,evening
11.85,7.84,male,male,no,evening
27.33,8.73,male,female,yes,day
17.13,7.79,male,female,no,day
26.05,9.88,female,female,yes,day
13.86,6.27,male,male,yes,evening
15.55,8.05,female,female,yes,evening
21.95,0.98,male,female,yes,day
35.17,9.47,male,female,no,day
29.26,7.32,female,female,no,day
28.61,0.1,male,male,no,day
17.31,0.7,female,male,yes,day
13.69,0.58,female,male,yes,evening
35.56,4.83,female,male,no,evening
11.25,8.94,male,male,no,day
26.24,5.86,male,male,no,evening
19.85,8.18,male,male,yes,evening
13.46,2.99,female,female,yes,day
42.85,8.75,male,female,no,evening
33.75,0.05,female,female,no,evening
13.75,0.45,female,male,no,evening
47.17,1.15,male,female,yes,day
17.4,5.46,male,female,no,day
33.37,7.09,female,male,yes,evening
12.5,7.73,female,male,no,evening
18.84,6.29,female,male,yes,evening
13.04,5.87,female,female,yes,day
28.14,1.48,female,female,no,evening
37.22,0.69,female,female,yes,evening
30.95,3.01,female,female,yes,day
45.38,7.34,male,female,no,evening
36.25,4.13,female,female,no,day
12.1,9.02,female,male,yes,evening
35.91,7.5,male,female,no,evening
40.13,5.55,male,male,yes,day
26.78,2.96,male,female,no,evening
29.97,7.82,female,female,no,day
44.88,8.43,male,male,yes,evening
13.24,3.32,male,male,yes,day
16.79,0.76,male,male,no,evening
33.69,1.31,female,female,yes,day
13.13,5.64,female,male,no,day
11.98,2.62,male,male,yes,evening
16.83,9.18,female,female,yes,evening
41.45,9.03,male,male,yes,day
49.02,5.16,male,female,no,evening
48.47,6.71,female,male,yes,day
21.29,0.41,male,female,no,evening
43.4,8.28,male,female,yes,day
47.87,5.01,male,male,no,day
41.67,9.38,male,male,yes,day
48.39,2.66,male,male,no,evening
20.4,7.27,female,female,yes,day
41.17,0.77,male,female,no,evening
18.14,3.77,male,female,yes,day
23.31,1.75,male,male,no,day
35.24,1.83,male,female,yes,day
39.9,2.24,female,female,yes,evening
40.65,1.62,female,male,yes,evening
13.64,2.21,male,male,yes,evening
45.84,3.63,male,female,yes,day
29.99,1.98,female,male,no,day
43.1,2.99,female,female,no,day
26.87,1.77,female,female,no,day
30.23,5.04,male,male,no,evening
31.32,0.46,male,female,yes,evening
37.49,7.62,male,female,no,day
43.02,0.71,male,male,yes,evening
37.86,0.18,female,female,no,day
33.83,2.53,female,male,no,evening
38.61,1.58,female,female,no,day
44.06,5.92,male,male,no,evening
32.76,9.95,female,female,yes,day
20.33,0.55,male,female,yes,evening
49.14,5.14,male,male,no,evening
26.42,8.13,female,female,no,day
23.95,2.96,female,female,yes,day
31.44,3.27,male,male,yes,day
44.02,4.89,male,female,yes,day
18.42,4.35,male,male,no,evening
29.76,6.7,female,male,no,evening
34.3,1.38,female,male,no,evening
13.14,4.15,male,female,no,day
16.63,0.29,male,female,yes,day
36.13,6.12,male,female,yes,day
39.34,2.2,female,male,yes,day
22.7,0.04,male,female,no,evening
35.23,0.74,male,female,no,day
45.52,4.23,male,male,no,evening
22.01,8.47,male,female,yes,day
25.33,3.87,male,female,yes,day
46.59,6.4,female,male,no,evening
10.26,0.78,male,female,yes,day
23.67,6.32,female,male,yes,day
43.53,8.4,male,male,yes,day
10.36,7.1,female,female,no,evening
14.33,6.26,female,female,no,day
34.95,1.79,male,male,no,evening
47.17,0.43,female,female,yes,evening
38.7,0.34,male,female,yes,day
14.03,2.34,male,female,no,day
34.06,2.55,female,male,yes,day
45.58,0.22,male,female,no,day
43.87,3.16,male,female,yes,day
33.6,8.34,male,male,no,day
21.47,2.32,female,female,no,day
19.28,2.32,male,female,no,evening
36.8,0.87,female,male,yes,day
20.37,7.29,male,male,yes,evening
29.42,2.15,male,female,no,day
31.77,8.27,female,male,no,evening
45.91,4.09,male,female,yes,day
13.11,3.02,female,female,no,day
16.27,9.92,female,female,no,day
19.35,4.74,female,female,no,evening
14.97,6.08,male,female,no,evening
47.75,9.95,male,male,no,evening
37.42,7.64,female,female,no,day
49.08,8.74,female,female,yes,day
15.07,9.13,female,male,no,evening
17.44,6.25,female,female,no,evening
13.47,2.2,female,female,no,day
33.36,0.49,male,female,no,day
23.37,1.47,male,male,yes,day
21.16,8.53,male,female,no,day
19.61,6.52,male,female,no,evening
15.77,9.71,male,female,yes,evening
32.74,8.52,male,male,yes,day
42.12,4.21,female,male,no,evening
41.62,9.34,male,female,yes,day
30.91,8.47,male,male,yes,evening
47.23,8.54,female,male,no,evening
40.33,1.21,male,female,no,evening
29.32,1.08,female,female,no,evening
12.31,1.07,male,male,yes,evening
12.36,2.0,female,male,no,day
38.97,7.01,female,female,no,day
28.88,9.61,male,female,yes,day
12.08,4.31,female,female,yes,evening
32.57,1.12,male,male,yes,day
15.22,6.1,female,male,no,day
32.05,1.21,female,male,yes,evening
25.19,3.81,female,male,no,day
15.9,8.26,female,male,yes,evening
27.43,4.73,male,male,yes,evening
14.14,0.53,male,female,no,evening
43.27,7.35,female,male,no,day
12.09,9.94,female,female,no,day
20.41,2.77,female,female,no,day
28.53,9.54,female,female,no,day
28.36,0.04,female,male,yes,evening
34.07,4.44,male,male,no,day
13.22,3.72,female,female,yes,day
20.23,1.45,female,male,no,evening
36.22,0.05,female,male,no,day
39.21,5.56,male,female,no,day
11.4,3.12,female,female,yes,evening
23.09,5.22,male,female,yes,day
19.31,1.48,male,male,no,day
25.09,5.14,female,male,no,evening
28.71,4.1,male,female,no,day
30.3,7.64,female,female,no,evening
49.51,2.55,male,female,yes,day
35.89,7.54,female,male,no,evening
38.6,5.8,female,female,yes,evening
29.79,0.15,male,male,no,day
49.01,0.51,male,male,no,evening
24.53,1.5,male,female,yes,day
29.22,2.85,female,male,no,evening
36.84,1.15,male,female,no,evening
42.97,0.41,female,female,no,day
25.73,1.36,female,male,yes,evening
32.35,1.8,male,female,yes,evening
36.94,3.58,male,female,no,day
10.39,5.25,female,male,yes,evening
12.01,8.66,male,female,yes,day
38.0,4.88,female,male,no,evening
29.38,5.53,female,male,yes,day
42.04,4.29,male,male,no,day
45.07,6.45,female,male,yes,day
39.41,6.73,male,male,yes,evening
41.23,2.81,male,male,yes,day
14.69,2.97,female,female,yes,evening
26.16,7.67,male,female,no,day
31.04,7.47,male,male,yes,day
11.45,8.71,female,male,yes,day
48.01,8.54,male,male,no,day
35.51,0.12,male,female,yes,evening
36.05,2.43,male,male,no,day
34.3,4.07,male,male,yes,day
31.47,7.44,male,male,yes,evening
15.85,1.98,male,male,yes,day
33.29,8.91,male,male,yes,day
18.34,9.24,female,male,yes,evening
27.25,8.41,male,female,yes,day
34.98,0.93,female,male,yes,evening
28.59,7.96,male,female,no,evening
19.7,0.48,female,male,no,evening
37.59,9.09,female,female,yes,day
15.24,3.82,female,female,yes,day
22.98,6.34,male,female,yes,day
10.61,7.41,female,female,yes,day
36.1,0.04,male,female,no,day
30.29,1.9,male,female,no,evening
30.38,2.71,female,female,no,day
12.36,5.34,female,female,no,day
17.37,5.5,female,male,no,evening
36.73,9.78,female,male,yes,evening
22.71,0.47,female,male,no,day
44.28,8.3,female,male,yes,day
22.31,8.93,female,female,yes,evening
42.98,7.74,male,female,no,evening
23.51,4.03,male,male,no,evening
36.51,1.19,female,male,no,day
18.91,5.84,male,male,no,day
14.31,5.05,female,female,no,day
19.42,5.71,female,female,no,day
36.5,8.43,female,female,no,evening
11.9,2.73,male,male,yes,day
12.84,3.6,female,female,yes,day
14.06,6.48,male,male,yes,evening
11.76,8.33,male,male,yes,day
15.23,7.06,male,female,no,day
35.59,1.46,male,female,no,day
36.7,3.58,female,female,yes,evening
30.66,0.25,male,female,yes,evening
25.43,8.22,female,female,no,evening
15.69,5.0,male,female,yes,evening
25.81,6.5,male,male,no,day
34.36,8.65,male,female,no,evening
32.28,0.34,male,female,no,day
35.59,2.17,female,female,no,evening
26.04,2.57,male,female,yes,evening
48.53,7.98,female,male,yes,day
28.81,5.41,female,female,yes,evening
36.2,3.47,female,male,yes,evening
16.6,7.27,female,female,no,evening
39.06,8.06,female,female,yes,evening
48.46,8.62,male,male,no,day
30.26,4.41,male,female,yes,evening
21.5,5.23,female,male,yes,day
38.28,9.86,female,male,yes,day
37.32,1.57,male,male,yes,evening
14.71,4.56,female,female,no,day
23.01,9.92,female,male,yes,evening
44.67,2.92,male,male,yes,day
38.34,5.96,female,female,yes,day
40.6,5.52,male,male,no,day
26.57,3.31,female,male,yes,day
32.05,1.57,female,female,yes,evening
48.62,7.79,male,male,yes,day
23.33,2.3,female,female,no,day
25.15,7.46,female,female,no,day
29.72,4.23,female,male,yes,day
49.04,0.09,female,male,yes,evening
37.06,7.97,male,male,no,day
13.51,0.45,male,female,no,evening
21.88,7.57,female,female,yes,evening
16.59,3.98,female,female,no,evening
43.37,5.38,male,male,no,day
31.12,3.19,female,female,no,day
42.68,8.59,female,female,no,evening
13.43,9.47,female,male,no,day
49.85,9.69,male,female,no,day
37.45,7.06,male,female,no,evening
25.83,1.0,female,female,no,day
28.53,0.21,male,male,no,day
45.26,0.09,female,female,no,evening
42.97,3.75,female,male,no,day
38.37,1.35,female,female,no,evening
21.86,2.42,female,female,no,evening
37.57,8.36,female,female,no,day
22.78,9.82,female,female,no,evening
44.47,3.44,male,male,yes,day
18.4,3.54,male,male,yes,day
14.45,2.82,female,male,no,day
15.29,0.0,female,male,yes,evening
16.19,0.72,female,female,no,evening
47.35,6.83,female,female,yes,day
12.66,4.82,female,female,no,evening
21.11,2.78,male,male,no,evening
35.4,2.39,female,female,no,evening
38.39,3.21,male,male,yes,evening
23.62,9.77,male,female,no,day
30.07,0.23,female,female,yes,evening
31.89,3.21,male,male,no,day
45.78,3.93,male,female,no,evening
33.27,5.0,male,female,no,evening
47.95,5.89,male,male,yes,day
29.87,6.7,female,male,yes,evening
14.19,4.33,female,male,no,day
22.35,1.9,female,female,yes,day
11.71,4.83,female,female,yes,day
20.24,7.37,female,male,yes,evening
15.03,3.64,male,male,no,evening
33.35,5.84,female,female,yes,evening
23.24,0.48,female,male,no,evening
34.13,4.31,female,male,no,day
33.63,6.82,female,female,yes,evening
32.37,0.51,female,female,no,day
12.77,2.48,male,female,yes,day
42.55,9.49,female,female,yes,day
15.1,5.37,female,male,yes,day
24.62,3.36,female,male,no,day
19.92,3.1,male,male,no,evening
47.51,7.47,male,female,no,day
14.74,2.87,male,female,no,day
26.08,9.17,female,male,no,evening
36.86,4.35,female,male,no,day
22.16,8.67,female,male,no,evening
10.47,3.32,female,male,no,day
31.56,5.99,male,female,yes,evening
43.8,6.45,male,male,no,evening
49.79,4.78,female,female,yes,evening
13.62,5.71,female,male,no,evening
10.56,9.75,female,male,yes,evening
24.78,2.27,female,female,yes,day
47.35,8.41,female,female,yes,day
45.22,6.83,female,female,no,day
30.47,3.88,female,male,no,day
37.31,2.9,female,male,no,day
34.61,8.36,male,female,yes,day
21.3,3.08,female,female,no,evening
33.76,9.88,male,female,no,evening
15.31,2.01,female,female,no,day
30.24,5.35,male,female,no,evening
13.0,8.75,male,female,no,evening
16.07,4.27,male,female,no,evening
10.26,0.25,male,male,no,day
16.55,6.1,female,male,no,evening
36.85,8.75,female,male,yes,evening
15.68,8.43,female,male,no,day
26.51,0.05,female,female,no,evening
25.23,3.84,male,female,yes,evening
33.04,6.5,male,male,yes,day
36.13,2.73,female,male,no,day
18.8,3.55,female,male,yes,day
40.72,5.47,female,female,yes,day
27.88,4.63,female,male,no,evening
21.47,1.75,male,female,yes,day
39.37,2.65,female,female,yes,day
27.11,2.53,female,female,no,evening
37.21,8.95,female,female,yes,evening
22.74,7.59,female,female,yes,evening
38.62,0.43,male,female,yes,evening
37.77,3.47,female,female,no,evening
13.85,3.86,female,female,no,day
46.54,8.3,male,female,no,day
45.97,0.65,female,male,yes,day
48.99,8.9,female,female,yes,evening
30.7,3.85,female,female,no,evening
31.46,4.45,male,male,no,evening
25.55,9.1,male,male,no,day
16.9,1.86,male,female,yes,day
45.72,2.83,male,male,no,evening
28.32,5.5,female,male,no,evening
11.44,7.21,male,female,no,evening
10.33,2.12,female,male,no,day
23.35,0.74,male,male,no,evening
45.92,4.22,male,male,no,day
14.88,6.8,male,male,yes,evening
31.61,9.87,female,male,no,day
41.47,4.95,female,female,yes,evening
19.76,4.81,male,female,yes,evening
43.69,6.32,female,male,no,day
28.83,8.36,female,female,no,evening
45.77,3.0,male,female,no,day
33.5,9.12,female,male,yes,day
44.32,0.3,male,male,yes,evening
45.43,4.66,male,female,yes,evening
33.5,1.33,female,female,yes,evening
44.36,7.46,male,female,yes,day
16.53,7.42,female,female,no,day
11.17,4.49,female,female,no,day
11.81,6.17,male,female,yes,day
13.91,4.72,female,female,yes,day
27.42,5.49,male,male,yes,day
17.61,9.29,male,male,yes,day
41.17,2.26,female,female,yes,evening
46.23,9.67,female,male,no,day
11.38,7.1,female,female,yes,evening
47.6,1.54,female,female,yes,evening
17.59,7.81,female,male,yes,evening
15.4,5.63,male,female,no,day
34.33,7.36,female,female,yes,day
23.56,1.5,male,male,yes,day
30.37,4.96,female,female,no,evening
27.22,0.63,male,male,no,evening
44.54,2.31,female,female,no,evening
16.12,9.5,female,male,yes,day
13.06,5.14,male,female,yes,evening
23.62,7.31,male,male,no,day
30.23,9.81,female,female,yes,evening
32.67,9.04,male,male,no,day
17.41,1.51,female,male,yes,evening
21.65,7.24,male,female,yes,evening
47.37,0.69,female,male,no,day
20.54,6.46,female,female,yes,evening
22.84,3.24,male,male,no,day
24.24,1.02,male,male,yes,day
44.53,1.79,female,female,no,evening
25.6,3.05,male,female,no,day
14.41,4.53,male,male,yes,day
42.39,7.46,male,male,yes,day
31.42,7.9,male,male,no,day
26.52,7.59,female,male,no,day
15.51,5.04,male,female,yes,evening
24.01,7.4,female,female,yes,evening
36.57,4.81,male,female,no,day
18.29,1.09,female,male,no,evening
20.0,1.5,female,male,no,day
29.25,6.49,female,male,yes,day
33.1,0.43,male,male,no,evening
35.05,6.77,male,female,yes,day
10.22,3.71,male,female,no,day
20.11,9.1,female,female,yes,day
31.27,4.29,male,male,no,evening
46.5,1.41,female,female,no,evening
42.89,2.26,female,male,no,evening
24.21,8.32,female,female,no,day
17.06,8.87,female,female,yes,evening
19.46,3.42,male,female,yes,evening
32.19,1.56,male,male,yes,day
39.56,4.48,female,female,no,day
18.54,1.75,female,female,yes,day
48.08,1.1,male,female,yes,day
44.0,9.43,male,female,no,evening
37.61,4.12,male,male,no,day
30.01,5.4,male,male,no,day
46.47,9.89,male,male,no,evening
19.88,1.66,male,male,yes,evening
19.54,5.88,female,female,yes,evening
39.64,5.25,female,female,no,day
16.06,2.04,male,female,yes,evening
25.55,8.42,female,female,yes,evening
13.6,9.6,female,male,yes,evening
49.52,2.22,male,male,no,evening
46.28,3.75,male,male,yes,evening
32.42,9.97,male,male,yes,day
20.84,8.74,male,male,no,day
29.3,2.13,female,female,yes,evening
48.84,8.82,female,male,no,evening
29.37,3.54,female,female,yes,evening
35.06,4.43,female,male,no,day
42.55,7.26,female,female,no,evening
16.57,0.66,female,female,no,day
12.68,1.33,male,male,no,evening
11.24,8.18,female,male,yes,evening
30.28,6.72,female,female,yes,evening
33.0,1.75,female,female,no,day
11.66,7.38,female,female,no,evening
27.56,6.23,male,female,yes,day
25.68,7.01,male,male,yes,evening
42.42,9.68,female,male,no,day
28.36,9.66,male,male,no,day
12.93,2.55,female,female,no,evening
43.32,8.64,male,male,no,day
18.26,5.64,female,female,no,day
43.82,5.36,male,female,yes,evening
40.87,8.03,male,male,yes,evening
16.42,1.66,male,female,no,day
46.92,8.1,female,male,yes,evening
32.54,9.6,male,male,no,evening
49.55,9.8,male,female,yes,day
44.81,8.57,female,male,yes,day
40.97,1.3,male,female,no,evening
36.84,5.83,female,female,no,evening
26.98,0.07,male,male,yes,day
46.34,6.47,male,female,no,day
42.84,8.39,female,female,no,day
45.9,3.52,male,female,no,evening
22.31,0.47,female,female,no,evening
30.03,5.07,female,female,yes,day
24.34,3.46,female,female,yes,evening
29.88,5.42,male,female,no,day
28.41,5.67,female,male,no,evening
36.59,7.05,female,female,yes,day
44.9,3.28,male,male,yes,evening
16.33,3.26,male,male,yes,evening
16.43,8.36,male,female,yes,day
38.26,4.84,male,female,yes,evening
42.39,5.47,male,male,no,day
17.42,1.74,male,male,yes,day
35.64,2.91,female,female,no,day
38.63,9.83,male,female,no,evening
29.52,7.31,female,male,no,evening
15.62,4.43,male,male,no,evening
28.55,1.44,female,male,yes,evening
26.79,5.67,male,female,yes,evening
24.71,9.01,male,female,no,day
47.44,8.66,female,female,no,evening
47.42,9.42,male,male,no,day
34.28,5.67,male,female,no,day
28.89,6.05,female,female,yes,evening
18.29,4.96,female,male,yes,evening
34.92,0.05,female,female,no,day
32.5,6.55,male,female,no,day
34.26,7.96,male,male,no,evening
15.34,1.91,female,male,no,day
11.01,7.17,male,male,yes,day
37.23,3.79,female,male,no,day
32.98,9.58,female,female,no,evening
12.46,9.62,female,female,no,day
37.65,9.49,male,female,no,day
13.91,3.22,female,male,no,evening
15.87,8.14,male,female,no,day
41.28,4.97,male,female,yes,evening
18.4,3.77,male,female,yes,evening
15.82,9.7,male,male,no,evening
46.95,4.37,female,male,no,evening
26.71,8.35,female,female,no,day
15.88,4.47,female,male,no,day
48.46,6.71,female,male,no,day
18.57,3.68,female,female,yes,day
31.12,2.0,female,female,no,day
37.33,4.77,male,female,yes,day
26.32,8.66,male,female,yes,evening
12.81,7.81,female,male,yes,day
43.58,2.31,male,female,yes,day
20.11,4.51,male,female,yes,evening
19.28,9.67,male,female,no,evening
37.09,1.58,female,male,no,evening
49.46,9.37,female,male,yes,evening
25.7,3.16,female,female,yes,evening
29.4,4.91,male,male,no,evening
16.18,2.91,female,male,yes,day
44.42,9.25,male,male,yes,evening
47.05,4.89,male,male,yes,evening
49.13,1.86,female,female,no,evening
42.23,9.1,male,male,no,day
30.06,4.32,female,male,no,evening
41.8,8.07,female,male,no,evening
43.21,3.6,female,female,yes,day
42.23,7.78,male,male,no,evening
28.66,3.82,male,male,no,day
17.36,0.9,male,female,no,day
24.93,4.1,female,female,no,evening
36.65,2.57,male,female,yes,day
42.61,2.44,female,female,no,evening
43.72,1.66,female,male,no,day
23.37,5.54,male,female,no,day
16.16,2.59,female,male,yes,evening
31.54,1.83,female,female,yes,evening
26.0,6.59,female,female,no,day
24.03,7.77,female,male,yes,day
20.96,0.84,female,male,no,day
42.04,1.79,female,male,no,evening
21.83,9.7,male,male,yes,evening
29.2,1.83,male,male,no,evening
18.68,2.45,male,male,no,evening
40.78,2.14,female,male,no,day
49.23,2.91,female,female,yes,evening
49.48,4.23,female,male,yes,day
13.72,9.11,female,female,yes,day
36.89,0.98,male,male,no,day
40.01,0.04,female,female,no,evening
11.44,1.22,male,male,no,day
21.07,3.63,female,female,yes,evening
18.32,4.87,female,male,yes,day
29.96,4.51,male,female,no,evening
19.76,8.23,female,female,yes,day
44.35,1.07,female,female,yes,day
17.66,8.73,male,male,yes,day
11.75,8.56,male,female,no,day
33.57,8.96,male,female,no,day
14.8,4.46,male,male,no,evening
44.16,1.35,female,male,no,day
30.66,2.0,male,female,yes,day
49.99,0.52,male,male,no,day
26.82,3.05,female,male,yes,evening
42.41,4.14,male,female,yes,day
44.81,7.13,male,female,yes,day
33.23,1.37,female,female,no,evening
28.4,8.52,male,male,yes,day
20.68,8.25,male,female,no,evening
41.98,1.72,female,female,yes,day
41.73,7.06,male,male,yes,evening
49.34,3.08,male,female,no,day
47.64,2.19,male,female,yes,evening
22.09,1.63,female,female,no,day
12.25,6.77,female,female,yes,evening
45.93,9.94,female,female,yes,evening
31.02,8.54,female,male,no,evening
36.65,8.21,female,male,yes,day
26.56,9.37,male,male,no,day
39.09,5.03,female,female,yes,day
12.48,1.18,male,male,no,evening
28.0,4.34,female,male,no,evening
21.67,5.9,male,female,no,day
19.9,1.75,male,female,no,evening
36.65,4.32,male,female,no,day
10.59,6.74,male,female,yes,day
31.24,0.6,female,female,yes,day
14.44,8.17,male,male,no,evening
26.7,8.22,female,male,yes,evening
17.47,5.22,female,male,no,day
44.18,5.83,female,male,yes,day
16.49,5.29,male,male,yes,evening
13.35,4.88,male,female,no,day
23.12,8.76,male,female,no,day
29.37,7.25,female,female,yes,evening
20.57,1.89,female,female,no,day
35.0,7.22,male,female,no,day
21.54,6.29,male,male,no,day
18.37,6.99,female,male,yes,day
39.1,8.38,male,female,no,evening
19.61,8.48,male,female,no,evening
11.59,2.33,male,male,yes,day
48.65,3.39,female,male,yes,evening
48.14,2.4,male,female,yes,day
22.62,8.79,female,male,no,day
17.92,5.05,female,female,no,day
